date,spx_close,spx_divy,rfr_1m,ivol25dput,ivol25dcall,rfr_3m,iv_90,iv_95,iv_97_5
39573,1407.49,2.03,2.6975,17.6067,14.3192,2.77,23.0202,20.8585,19.6863
39574,1418.26,2.02,2.67375,16.1318,13.8479,2.7575,22.8616,20.6498,19.4877
39575,1392.57,2.05,2.62125,18.4186,15.7327,2.73438,24.1418,21.8869,20.6916
39576,1397.68,2.04,2.59,17.7709,14.6946,2.71563,23.8151,21.4702,20.2991
39577,1388.28,2.06,2.55,16.9128,14.0299,2.685,24.0046,21.7225,20.5216
39580,1403.58,2.04,2.52938,16.8802,12.9405,2.67813,23.3115,20.9738,19.8078
39581,1403.04,2.04,2.51438,17.7719,13.0697,2.67563,23.2805,20.9255,19.7478
39582,1408.66,2.03,2.505,16.8285,12.8769,2.72,23.1392,20.7043,19.4583
39583,1423.57,2.01,2.4975,15.3362,10.5729,2.71875,22.4177,19.9933,18.7503
39584,1425.35,2,2.47875,17.6593,13.2836,2.695,22.5999,20.1975,18.9667
39587,1426.63,2,2.45125,17.9532,13.5067,2.6775,22.9049,20.5015,19.2742
39588,1413.4,2.02,2.43,18.2191,14.2181,2.6575,23.8972,21.3809,20.1361
39589,1390.71,2.05,2.40438,19.3274,15.0447,2.63813,24.9849,22.615,21.3687
39590,1394.35,2.05,2.3925,18.5489,14.5134,2.63813,24.487,22.065,20.8234
39591,1375.93,2.08,2.3825,19.9712,15.8418,2.64563,25.3301,22.8471,21.6094
39595,1385.35,2.06,2.37875,19.6959,15.5256,2.64438,24.9632,22.6374,21.3966
39596,1390.84,2.05,2.38125,18.9297,15.2321,2.64938,24.5162,22.1438,20.9083
39597,1398.26,2.04,2.45938,17.9066,14.36,2.68188,23.6901,21.3203,20.1205
39598,1400.38,2.04,2.4575,17.3179,13.8207,2.68063,23.4968,21.097,19.8831
39601,1385.67,2.06,2.45563,19.4268,15.5126,2.67625,24.4963,22.1618,20.9187
39602,1377.65,2.07,2.45125,19.7721,15.8173,2.67313,24.9577,22.5785,21.3411
39603,1377.2,2.07,2.45,20.1773,16.2883,2.67188,25.386,22.9286,21.6554
39604,1404.05,2.03,2.44813,17.6299,13.9538,2.67688,24.0873,21.5633,20.3009
39605,1360.68,2.1,2.44938,23.4829,18.5866,2.69563,27.061,24.5603,23.268
39608,1361.76,2.1,2.44813,23.1415,18.4712,2.69125,26.7472,24.332,23.0309
39609,1358.44,2.1,2.475,22.7346,18.0723,2.78625,26.5019,24.1626,22.9291
39610,1335.49,2.14,2.47688,23.6738,19.8645,2.78813,27.1938,24.899,23.676
39611,1339.87,2.13,2.47125,22.652,18.8908,2.77625,26.5979,24.299,23.0771
39612,1360.03,2.1,2.48188,18.7371,15.5238,2.81375,25.2591,23.0163,21.8094
39615,1360.14,2.1,2.48125,20.7229,16.6399,2.8125,25.103,22.8916,21.6899
39616,1350.93,2.12,2.4825,20.3136,15.9329,2.80875,25.3343,22.9773,21.7866
39617,1337.81,2.14,2.48188,21.1415,16.6299,2.8025,26.272,23.9091,22.6748
39618,1342.83,2.13,2.48125,20.4812,15.0367,2.80125,25.4811,23.1511,21.942
39619,1317.93,2.17,2.48125,24.0178,18.5784,2.80188,26.3622,24.0419,22.8498
39622,1318,2.16,2.4825,23.5147,18.3931,2.80438,26.1972,23.8075,22.5999
39623,1314.29,2.17,2.48188,23.2823,18.4366,2.80938,26.1731,23.828,22.6229
39624,1321.97,2.16,2.4825,21.7079,17.4024,2.80813,25.2672,22.9543,21.7919
39625,1283.15,2.22,2.4825,24.4164,20.0481,2.80063,27.2668,25.0353,23.8781
39626,1278.38,2.23,2.47063,23.5067,19.2415,2.79125,26.9616,24.8072,23.6457
39629,1280,2.23,2.4625,23.9938,19.6052,2.78313,26.9218,24.7264,23.549
39630,1284.91,2.23,2.46125,23.2152,19.0108,2.7875,26.8366,24.5822,23.403
39631,1261.52,2.27,2.4625,26.0276,21.5789,2.79125,28.3923,26.0641,24.8767
39632,1262.9,2.27,2.46,23.9667,20.1644,2.79125,27.7885,25.4496,24.2688
39636,1252.31,2.28,2.46125,25.2423,21.7164,2.79125,28.1334,25.8781,24.7143
39637,1273.7,2.25,2.45875,21.5868,18.8576,2.79,26.4057,24.0692,22.9017
39638,1244.69,2.3,2.45875,23.1266,22.261,2.79188,27.8406,25.6611,24.5659
39639,1253.39,2.28,2.45625,24.6953,21.9413,2.78813,27.7413,25.5972,24.4845
39640,1239.49,2.3,2.4575,27.0059,23.9922,2.79063,29.0106,26.8437,25.7505
39643,1228.3,2.32,2.46,29.3924,24.8511,2.79063,29.5432,27.3603,26.2335
39644,1214.91,2.35,2.45813,29.0625,24.1373,2.78938,29.8382,27.5909,26.4639
39645,1245.36,2.29,2.45625,25.6529,21.0779,2.785,27.6169,25.3557,24.2219
39646,1260.32,2.26,2.45813,24.0458,20.1511,2.78625,27.3035,24.9687,23.8042
39647,1260.68,2.26,2.45938,25.3577,19.3579,2.79063,26.8794,24.656,23.5082
39650,1260,2.26,2.46063,24.0472,18.4328,2.79938,26.3518,24.1161,22.966
39651,1277,2.23,2.46188,22.0267,16.6253,2.79625,25.0181,22.7983,21.6358
39652,1282.19,2.22,2.46125,21.4312,17.2282,2.8,25.2264,23.0759,21.9323
39653,1252.54,2.27,2.46,24.2474,18.9434,2.795,26.7428,24.6168,23.4939
39654,1257.76,2.26,2.4575,23.3151,18.6663,2.79313,26.3157,24.1457,23.039
39657,1234.37,2.3,2.4625,24.6515,20.4976,2.79625,27.1895,25.1037,24.0493
39658,1263.2,2.25,2.46313,21.9714,18.5792,2.79875,25.139,23.1892,22.1758
39659,1284.26,2.23,2.46375,21.3908,17.6864,2.80063,24.3723,22.3984,21.3658
39660,1267.38,2.25,2.46125,23.4152,19.159,2.79125,25.8439,23.7875,22.754
39661,1260.31,2.26,2.46,22.0192,18.3452,2.79438,25.748,23.8215,22.8304
39664,1249.02,2.28,2.46125,23.6331,20.1142,2.79813,26.1893,24.3008,23.3394
39665,1284.88,2.22,2.4625,21.1009,17.5522,2.80188,24.3684,22.4406,21.4551
39666,1289.19,2.21,2.46188,19.193,15.7249,2.8025,24.0357,22.1406,21.1577
